Name,CI
pp_50_50_50,"(np.float64(0.609143830324496), np.float64(0.6160449117194788))"
pp_25_25_25,"(np.float64(0.6119983815444139), np.float64(0.6188900754368729))"
pp_50_50_25,"(np.float64(0.6069404015884393), np.float64(0.613848560497895))"
pp_100_100_10,"(np.float64(0.6086430446127227), np.float64(0.6155457474413351))"
pp_100_100_100,"(np.float64(0.6125492741086785), np.float64(0.619439127859474))"
pp_100_100_25,"(np.float64(0.6076915622226289), np.float64(0.6145973248498456))"
pp_25_25_50,"(np.float64(0.6106962901988175), np.float64(0.6175922968121731))"
pp_10_10_10,"(np.float64(0.6038857694193113), np.float64(0.6108034977173177))"
pp_25_25_10,"(np.float64(0.6082424187782548), np.float64(0.6151464132836751))"
pp_50_50_10,"(np.float64(0.6133004986911194), np.float64(0.620187828258574))"
pp_10_10_25,"(np.float64(0.6096446198373302), np.float64(0.6165440721962911))"
pp_50_50_100,"(np.float64(0.6134006626186559), np.float64(0.6202876543285282))"
pp_25_25_100,"(np.float64(0.6136510731068522), np.float64(0.6205372188340089))"
pp_10_10_100,"(np.float64(0.6099951747593968), np.float64(0.6168934822668151))"
pp_10_10_50,"(np.float64(0.6026339115876204), np.float64(0.6095554805668605))"
pp_100_100_50,"(np.float64(0.6087432014511222), np.float64(0.6156455806009405))"
