segmentation	accuracy	minVal	maxVal	threshold	tradeOffValue
25_25_100	0.6161333333333333	0.6121435497127402	0.6201076179662761	0.563963963963964	0.6578932532301416
50_50_100	0.6166666666666667	0.6126778839840848	0.6206398791495693	0.562972972972973	0.6596568800723721
100_100_25	0.6144	0.610406997974769	0.6183777344732818	0.562972972972973	0.6540852753678593
10_10_25	0.6212666666666666	0.6172867260004286	0.6252304229085635	0.56	0.6583157259281618
10_10_50	0.6212	0.6172199285077661	0.6251638959699719	0.564954954954955	0.661777802801938
10_10_10	0.6167333333333334	0.6127446761211158	0.6207064114443333	0.560990990990991	0.6534723359718819
100_100_50	0.6122666666666666	0.6082697761095566	0.6162485745087596	0.563963963963964	0.6578880885029392
100_100_10	0.6148666666666667	0.6108745259273077	0.6188434775449717	0.562972972972973	0.6555910852662492
100_100_100	0.6161333333333333	0.6121435497127402	0.6201076179662761	0.564954954954955	0.6599251461341309
10_10_100	0.6166	0.6126110919255414	0.62057334677631	0.564954954954955	0.6546065810128319
